id,fechaAlta,hora,anamnesis,agendado,eog,tratamiento,temperatura,peso,referencia,notaCaja,atendidoPor,pendiente,aFuturo,createdAt,updatedAt,MascotumId,referenciumId,clienteId
19,2020-07-31T14:34:34.000Z,14:34:34,MCDOLOR ARTICULR SACRODIROX Y PREVICOX,2020-07-31T14:34:34.000Z,Sin especificar,Sin especificar,38,6,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2020-07-31T14:34:34.000Z,2020-07-31T14:34:34.000Z,10,1,19
21,2023-04-17T21:21:05.000Z,21:21:05,Sin observaciones,2023-04-17T21:21:05.000Z,Sin especificar,Sin especificar,0,7.7,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2023-04-17T21:21:05.000Z,2023-04-17T21:21:05.000Z,10,1,19
22,2018-05-28T20:54:36.000Z,20:54:36,SE PRESENTA CON PIODERMIA GENERALIZADACONVENIA ,2018-05-28T20:54:36.000Z,Sin especificar,Sin especificar,0,13.4,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2018-05-28T20:54:36.000Z,2018-05-28T20:54:36.000Z,1046,1,23
23,2021-07-21T16:04:52.000Z,16:04:52,Sin observaciones,2021-07-21T16:04:52.000Z,Sin especificar,Sin especificar,38.2,3,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2021-07-21T16:04:52.000Z,2021-07-21T16:04:52.000Z,1051,1,28
25,2021-11-19T12:00:00.000Z,12:00:00,MC PRESENCIA DE HERNIA INGUINAL. SE REALIZAN EXAMENES PARA AVALUAR CIRUGIA,2021-11-19T12:00:00.000Z,Sin especificar,Sin especificar,38,3,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2021-11-19T12:00:00.000Z,2021-11-19T12:00:00.000Z,1051,1,28
29,2022-12-29T16:48:48.000Z,16:48:48,MC PLAN DE VACUNACION,2022-12-29T16:48:48.000Z,Sin especificar,Sin especificar,38,580,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2022-12-29T16:48:48.000Z,2022-12-29T16:48:48.000Z,5126,1,51
30,2023-06-20T13:50:09.000Z,13:50:09,Sin observaciones,2023-06-20T13:50:09.000Z,Sin especificar,Sin especificar,0,4.55,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2023-06-20T13:50:09.000Z,2023-06-20T13:50:09.000Z,1078,1,55
31,2020-12-12T13:39:33.000Z,13:39:33,Control suspendio neumoflogin y comenzo a toser,2020-12-12T13:39:33.000Z,Sin especificar,Sin especificar,38.5,4,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2020-12-12T13:39:33.000Z,2020-12-12T13:39:33.000Z,1085,1,62
33,2018-05-11T19:17:06.000Z,19:17:06,SE PRESENTA CON COJERA DEL MAD Y MPDSE LE ENVIA PREVICOX Y HEMOGRAMA (ADJ),2018-05-11T19:17:06.000Z,Sin especificar,Sin especificar,0,13,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2018-05-11T19:17:06.000Z,2018-05-11T19:17:06.000Z,1087,1,64
36,2021-09-08T20:01:53.000Z,20:01:53,Sin observaciones,2021-09-08T20:01:53.000Z,Sin especificar,Sin especificar,0,2.05,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2021-09-08T20:01:53.000Z,2021-09-08T20:01:53.000Z,7,1,14
37,2018-12-03T21:00:25.000Z,21:00:25,Sin observaciones,2018-12-03T21:00:25.000Z,Sin especificar,Sin especificar,0,11.25,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2018-12-03T21:00:25.000Z,2018-12-03T21:00:25.000Z,1065,1,42
38,2019-02-04T21:04:52.000Z,21:04:52,presenta lesione genralizadas de dermatitis estafiloccocicasse le administra convenia y combinados con shampoo con clorhexidina (ya que tiene),2019-02-04T21:04:52.000Z,Sin especificar,Sin especificar,0,11.45,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2019-02-04T21:04:52.000Z,2019-02-04T21:04:52.000Z,1065,1,42
39,2018-05-26T20:12:00.000Z,20:12:00,TOMORACION EN BOCA DEL LADO DERECHOSE LE MANDA STOMORGYL CADA 24HS POR 10 DIASVUELVE A CONTROL,2018-05-26T20:12:00.000Z,Sin especificar,Sin especificar,0,6,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2018-05-26T20:12:00.000Z,2018-05-26T20:12:00.000Z,1171,1,149
40,2018-09-04T20:58:08.000Z,20:58:08,comienza con stomorgyl para prepararla para limpieza dental,2018-09-04T20:58:08.000Z,Sin especificar,Sin especificar,0,6.15,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2018-09-04T20:58:08.000Z,2018-09-04T20:58:08.000Z,1171,1,149
41,2020-08-17T20:29:09.000Z,20:29:09,Se realizo rx de torax L-L se visualizo mucho gas a nivel intestinal y de estomago.Tto: cerenia 0.6cm,2020-08-17T20:29:09.000Z,Sin especificar,Sin especificar,0,5.8,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2020-08-17T20:29:09.000Z,2020-08-17T20:29:09.000Z,1171,1,149
42,2021-11-22T12:00:00.000Z,12:00:00,MC DISNEA Y CANSANCIO A LA ISNPECCION GENERAL NO SE OBSERVA NADA DESTACABLE MUCOSAS ALGO VIOLACEAS PERO NO QUE LLAMEN LA ATENCION SI SE VE LA DISNEA EXPIRATORIAA LA AUSCULTACION SE ESCUCHAN ESTERTORES BIEN PATENTES EN TODA LA CAJA TORAXICA. EL SONIDO CARDIACO APENAS AUDIBLE.SE LE HACE ELECTRO Y PLACA,2021-11-22T12:00:00.000Z,Sin especificar,Sin especificar,38,5,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2021-11-22T12:00:00.000Z,2021-11-22T12:00:00.000Z,1171,1,149
44,2023-02-03T13:38:52.000Z,13:38:52,Se realizan analisis pre cx y electro para extraccion de neoplasia sub axilar izquierda.,2023-02-03T13:38:52.000Z,Sin especificar,Sin especificar,0,15,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2023-02-03T13:38:52.000Z,2023-02-03T13:38:52.000Z,5380,1,149
49,2023-03-31T03:43:39.000Z,03:43:39,Sin observaciones,2023-03-31T03:43:39.000Z,Sin especificar,Sin especificar,0,39.4,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2023-03-31T03:43:39.000Z,2023-03-31T03:43:39.000Z,55,1,166
50,2018-06-01T16:45:15.000Z,16:45:15,Sin observaciones,2018-06-01T16:45:15.000Z,Sin especificar,Sin especificar,38,4,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2018-06-01T16:45:15.000Z,2018-06-01T16:45:15.000Z,1216,1,196
52,2020-09-18T20:28:25.000Z,20:28:25,No come con tantas ganas como antes a veces como pasto. No se evidencia alguna alteracion al EOG.Se administro vacuna igual.,2020-09-18T20:28:25.000Z,Sin especificar,Sin especificar,39.2,40,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2020-09-18T20:28:25.000Z,2020-09-18T20:28:25.000Z,63,1,196
54,2020-11-10T21:33:40.000Z,21:33:40,Se le administra buscapina Presenta dolor abdominal ,2020-11-10T21:33:40.000Z,Sin especificar,Sin especificar,38.5,40,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2020-11-10T21:33:40.000Z,2020-11-10T21:33:40.000Z,63,1,196
56,2022-05-21T16:12:47.000Z,16:12:47,POR EPISODIOS SE MEDICO CON FENOBARBITAL 25MG CADA 12HRS-,2022-05-21T16:12:47.000Z,Sin especificar,Sin especificar,37.8,12,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2022-05-21T16:12:47.000Z,2022-05-21T16:12:47.000Z,5384,1,196
61,2020-10-15T16:38:46.000Z,16:38:46,MC DIARREA CON SANGRE VOMITOSDIETAMAROPITANSULFAPRIM NO SE LA PUEDEN DAR,2020-10-15T16:38:46.000Z,Sin especificar,Sin especificar,38.5,3.6,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2020-10-15T16:38:46.000Z,2020-10-15T16:38:46.000Z,5388,1,221
63,2018-09-03T21:05:50.000Z,21:05:50,ENTRA EN CELO SE QUEDA EN COSENTIDOS.... SE LE EMPIEZA A DAR SINGESTAR,2018-09-03T21:05:50.000Z,Sin especificar,Sin especificar,0,24.85,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2018-09-03T21:05:50.000Z,2018-09-03T21:05:50.000Z,1251,1,231
64,2020-09-08T15:33:16.000Z,15:33:16,Sin observaciones,2020-09-08T15:33:16.000Z,Sin especificar,Sin especificar,38.9,29,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2020-09-08T15:33:16.000Z,2020-09-08T15:33:16.000Z,1251,1,231
66,2021-05-20T14:49:14.000Z,14:49:14,Mc: prurito en ambos oidos.Tto: prednisolona 20 mg 1 comp y medio por da por 5 dias otiflex c cada 12 horas por 10 dias ,2021-05-20T14:49:14.000Z,Sin especificar,Sin especificar,0,30,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2021-05-20T14:49:14.000Z,2021-05-20T14:49:14.000Z,1251,1,231
67,2023-06-19T14:28:22.000Z,14:28:22,Mc: prurito intenso en cuerpo y orejas.Presenta otitis purulenta bilateral. Ademas eritema en abdomen e ingles y pustulas incipientes en ingles. Gran dermatitis perivulvar.Tto: limpieza de oidos otiflex c por 7 dias dexa prednisolona 20mg 1 comp y 1/2 por dia por 7 dias cefalexina 500 mg 1 comp y 1/2 cada 12 horas por 10 dias cambio de racion a virbac dermato o libre de granos. ,2023-06-19T14:28:22.000Z,Sin especificar,Sin especificar,0,33.5,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2023-06-19T14:28:22.000Z,2023-06-19T14:28:22.000Z,1251,1,231
68,2023-09-29T14:26:55.000Z,14:26:55,Viene a control muy buena evolucion. Se indica comenzar con apoquel 1 comp cada 12 horas se indica control en 2 semanas. ,2023-09-29T14:26:55.000Z,Sin especificar,Sin especificar,0,36.5,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2023-09-29T14:26:55.000Z,2023-09-29T14:26:55.000Z,1251,1,231
69,2023-11-04T15:12:13.000Z,15:12:13,Sin observaciones,2023-11-04T15:12:13.000Z,Sin especificar,Sin especificar,38.2,36.5,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2023-11-04T15:12:13.000Z,2023-11-04T15:12:13.000Z,1251,1,231
71,2023-11-08T13:30:41.000Z,13:30:41,concurre para estudios metabolicos,2023-11-08T13:30:41.000Z,Sin especificar,Sin especificar,0,37.4,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2023-11-08T13:30:41.000Z,2023-11-08T13:30:41.000Z,1251,1,231
72,2024-02-13T18:18:26.000Z,18:18:26,Consulta por hematuria de al menos 1 semana de evolucion receto previcox y solicito muestra de orinano se observan otras alteraciones,2024-02-13T18:18:26.000Z,Sin especificar,Sin especificar,38.6,33.6,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2024-02-13T18:18:26.000Z,2024-02-13T18:18:26.000Z,1251,1,231
74,2020-02-26T22:30:54.000Z,22:30:54,SE PRESENTA CON AGITACION A LA PALPACION SE OBSERVAN MUCHA CANTIDAD DE GASES LAS FUNCIONES SON NORMALES COME TOMA AGUA...SE LE REALIZA ECO OBSERVANDO ACUMULO DE GASES Y VEJIGA S/PSE LE ADMINISTRA MAROPITAN VUELVE A CONTROL,2020-02-26T22:30:54.000Z,Sin especificar,Sin especificar,0,3.9,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2020-02-26T22:30:54.000Z,2020-02-26T22:30:54.000Z,1269,1,249
75,2018-08-07T15:37:11.000Z,15:37:11,Sin observaciones,2018-08-07T15:37:11.000Z,Sin especificar,Sin especificar,0,34,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2018-08-07T15:37:11.000Z,2018-08-07T15:37:11.000Z,1280,1,260
76,2023-02-20T17:50:10.000Z,17:50:10,MC DIARREA  HECES BLANDAS CON MUCUS Y GASDOLOR ABDOMINAL LEVE CON COLICOS,2023-02-20T17:50:10.000Z,Sin especificar,Sin especificar,0,55,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2023-02-20T17:50:10.000Z,2023-02-20T17:50:10.000Z,85,1,273
78,2018-05-17T20:01:52.000Z,20:01:52,ALERGIA EN ZONA INGUINAL ESTUVO EN CONTACTO CON PULGAS Y SE LE OBSERVA MATERIA FECAL...SE LE MANDA PREDNISOLONA 20MG CADA 24 HS EN DOSIS DECRECIENTE POR 9 DIAS.... Y APLICACION DE FRONTLINE PLUS,2018-05-17T20:01:52.000Z,Sin especificar,Sin especificar,0,14,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2018-05-17T20:01:52.000Z,2018-05-17T20:01:52.000Z,1297,1,277
79,2021-09-01T20:52:37.000Z,20:52:37,Sin observaciones,2021-09-01T20:52:37.000Z,Sin especificar,Sin especificar,0,14,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2021-09-01T20:52:37.000Z,2021-09-01T20:52:37.000Z,1297,1,277
80,2018-05-17T20:34:06.000Z,20:34:06,SE PRESENTA LUEGO DE SER ATROPELLADA....NO SE OBSERVAN ALTERACIONES IMPORTANTES SE LE REALIZA ECO DE ABDOMEN TODO OKSE LE MANDA PREVICOX 57 MG 1/2 CADA 24 POR 6 DIAS Y 6A EN DOS HERIDAS EN LA CABEZA,2018-05-17T20:34:06.000Z,Sin especificar,Sin especificar,0,7.35,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2018-05-17T20:34:06.000Z,2018-05-17T20:34:06.000Z,1301,1,281
83,2020-01-03T17:08:25.000Z,17:08:25,MC  vomitos diarrea  HIPOREXIADOLOR ABDOMINALTARTAMIENTO MAROPITAN DIETA INTESTINALTALIPECTIN 1/40COMP CADA 12,2020-01-03T17:08:25.000Z,Sin especificar,Sin especificar,38.5,3,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2020-01-03T17:08:25.000Z,2020-01-03T17:08:25.000Z,90,1,283
87,2023-10-12T18:46:01.000Z,18:46:01,vomitos colicos dolor abdominal 72 hs de evolucionaplicamos cerenia ,2023-10-12T18:46:01.000Z,Sin especificar,Sin especificar,37.8,4,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2023-10-12T18:46:01.000Z,2023-10-12T18:46:01.000Z,90,1,283
88,2018-07-06T15:23:48.000Z,15:23:48,Fuerte dolor en MPI  cadera tolfedinetramadoly glicosamino   injecta domicilio previcox   tramadol (en la noche) y bioflexa,2018-07-06T15:23:48.000Z,Sin especificar,Sin especificar,0,38,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2018-07-06T15:23:48.000Z,2018-07-06T15:23:48.000Z,1305,1,285
89,2019-06-22T19:07:24.000Z,19:07:24,pustula edematizada en zona perianal tratamiento medicostomorgylprednisona,2019-06-22T19:07:24.000Z,Sin especificar,Sin especificar,368,12,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2019-06-22T19:07:24.000Z,2019-06-22T19:07:24.000Z,1307,1,287
92,2020-11-16T19:37:10.000Z,19:37:10,Sin observaciones,2020-11-16T19:37:10.000Z,Sin especificar,Sin especificar,38,9,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2020-11-16T19:37:10.000Z,2020-11-16T19:37:10.000Z,1307,1,287
93,2021-08-19T12:00:00.000Z,12:00:00,Diarrea cronico con empujes desde Nov 2020Presenta decaimiento anorexia y diarrea8 % deshidratacion hipotensiom distension abdominal periodontitis grado 4 y sarro abundanteFluidoterapia potasio y complemento aminolite cerenia METABOLASE.Atb gastroenteril,2021-08-19T12:00:00.000Z,Sin especificar,Sin especificar,37.5,1.6,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2021-08-19T12:00:00.000Z,2021-08-19T12:00:00.000Z,1312,1,292
95,2021-07-24T17:31:22.000Z,17:31:22,Sin observaciones,2021-07-24T17:31:22.000Z,Sin especificar,Sin especificar,38,12.5,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2021-07-24T17:31:22.000Z,2021-07-24T17:31:22.000Z,1316,1,296
100,2018-05-24T19:32:39.000Z,19:32:39,SE PRESENTA CON DOLOR ABDOMINAL DIFUSO SIN OTRA SINTOMATOLOGIA (NO SABE SI VOMITA O TIENE DIARREA.TRATAMIENTO: PROPANTELINA 2 CP CADA 24HS POR 4 DIAS Y DIETA.,2018-05-24T19:32:39.000Z,Sin especificar,Sin especificar,38.4,22,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2018-05-24T19:32:39.000Z,2018-05-24T19:32:39.000Z,1364,1,344
101,2019-05-21T12:00:00.000Z,12:00:00,MC  VOMITOS DECAIMIENTO  ANOREXIADOLOR A NIBEL ABDOMINAL ANTERIOR  GANGLIOS Y MUCOSAS NORMALES NO SE DESTACA NADA IMPORTANTECERENIADIPIRONA Y AMOXICILINA CLAVULANICO,2019-05-21T12:00:00.000Z,Sin especificar,Sin especificar,40,27,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2019-05-21T12:00:00.000Z,2019-05-21T12:00:00.000Z,110,1,344
103,2019-05-22T12:00:00.000Z,12:00:00,NO PRESENTO MAS VOMITOS Y COMENZO A COMERSE PRESCRIBE :BUSCAPINA DIPIRONA Y DIETA HEPATICASE REALIZA ESTRACCION DE SANGRE  FUNCIONAL HEPATICO Y RENAL,2019-05-22T12:00:00.000Z,Sin especificar,Sin especificar,38.5,27,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2019-05-22T12:00:00.000Z,2019-05-22T12:00:00.000Z,110,1,344
105,2019-05-23T14:37:45.000Z,14:37:45,COMENZO A COMER NORMALMENTE  DEBE CONTINUAR CON LA DIETASE ESPERAN RESULTADOS,2019-05-23T14:37:45.000Z,Sin especificar,Sin especificar,38,27,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2019-05-23T14:37:45.000Z,2019-05-23T14:37:45.000Z,110,1,344
107,2021-02-04T18:18:53.000Z,18:18:53,Sin observaciones,2021-02-04T18:18:53.000Z,Sin especificar,Sin especificar,0,20,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2021-02-04T18:18:53.000Z,2021-02-04T18:18:53.000Z,5164,1,344
108,2019-04-23T15:51:43.000Z,15:51:43,presenta dermatitis humedas generalizadas en la zona de ingle se le envia cefalexina 500 por 10 dias cada 12 hs,2019-04-23T15:51:43.000Z,Sin especificar,Sin especificar,0,33,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2019-04-23T15:51:43.000Z,2019-04-23T15:51:43.000Z,1375,1,355
109,2019-12-18T12:00:00.000Z,12:00:00,Sin observaciones,2019-12-18T12:00:00.000Z,Sin especificar,Sin especificar,38,3,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2019-12-18T12:00:00.000Z,2019-12-18T12:00:00.000Z,185,1,623
111,2020-01-08T12:00:00.000Z,12:00:00,Sin observaciones,2020-01-08T12:00:00.000Z,Sin especificar,Sin especificar,38,3,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2020-01-08T12:00:00.000Z,2020-01-08T12:00:00.000Z,185,1,623
114,2021-10-12T14:25:38.000Z,14:25:38,MC VOMITOS Y DIFICULTAD RESPIRATORIAAL EXAMEN :taquipnea  disnea expiratoria mucosas palidas estertores ralos -algo de perdida de liquido por boca y nariz rosado. distencion abdominal.P02  67  FC 145TERAPIA CON O2SE REALIZA ESTUDIO RXDEXAMETASONA Y FUROSEMIDE SE ADMINISTRA CERENIA  ,2021-10-12T14:25:38.000Z,Sin especificar,Sin especificar,37,4,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2021-10-12T14:25:38.000Z,2021-10-12T14:25:38.000Z,185,1,623
115,2018-05-29T20:44:21.000Z,20:44:21,SE PRESENTA CON CONVULSIONES....SE LE ADMINISTRA FENOBARBITAL (1/4 C/12HS)VUELVE A CONTROL EL SABADO,2018-05-29T20:44:21.000Z,Sin especificar,Sin especificar,0,6.95,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2018-05-29T20:44:21.000Z,2018-05-29T20:44:21.000Z,1055,1,32
116,2023-02-09T17:55:35.000Z,17:55:35,Mc: dificultad para incorporarse cluadicacion al caminar.Al eop de osteartiuclar se evidencia molestia en ambas rodillas molestia en columna a nivel de region toraco lumbar molestia en cervicales y contractura de ambos triceps.Se extra sangre para realizar hemograma y chem 15 en el hemograma se ve una leve neutropenia y en la bioquimica una azotemia. Por lo que se solicita orina. Tto: previcox 227mg 3/4 comp por dia po 15 dias y flexapet cambio de alimentacion a una libre de granos prosum.,2023-02-09T17:55:35.000Z,Sin especificar,Sin especificar,0,25,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2023-02-09T17:55:35.000Z,2023-02-09T17:55:35.000Z,15,1,43
118,2023-04-04T19:41:00.000Z,19:41:00,Sin observaciones,2023-04-04T19:41:00.000Z,Sin especificar,Sin especificar,38.5,24,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2023-04-04T19:41:00.000Z,2023-04-04T19:41:00.000Z,15,1,43
119,2023-05-23T14:20:00.000Z,14:20:00,Sin observaciones,2023-05-23T14:20:00.000Z,Sin especificar,Sin especificar,0,23.85,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2023-05-23T14:20:00.000Z,2023-05-23T14:20:00.000Z,15,1,43
120,2019-12-09T12:00:00.000Z,12:00:00,M.A EDEMATIZADO FLEMON? DOLORANTINFLAMATORIO Y ANTIBIOTICO  VOLVER POR PLACA,2019-12-09T12:00:00.000Z,Sin especificar,Sin especificar,38,5,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2019-12-09T12:00:00.000Z,2019-12-09T12:00:00.000Z,1076,1,53
122,2019-12-12T21:23:44.000Z,21:23:44,PLACAPREVICOX 57 MG 1/2 COMP POR DIA,2019-12-12T21:23:44.000Z,Sin especificar,Sin especificar,38,5,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2019-12-12T21:23:44.000Z,2019-12-12T21:23:44.000Z,1076,1,53
124,2023-02-20T18:24:05.000Z,18:24:05,Sin observaciones,2023-02-20T18:24:05.000Z,Sin especificar,Sin especificar,0,23,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2023-02-20T18:24:05.000Z,2023-02-20T18:24:05.000Z,1081,1,58
125,2019-06-24T20:06:37.000Z,20:06:37,PRESENTA LESIONES EN BABILLA Y EN ZONA ENTRADA DE PECHO PRESETNA ZONAS CON PRESENCIA DE LEVADURAS Y ZONAS ESTAFILOCCOCICASSE LE ENVIA PONER 6A CADA 8HS,2019-06-24T20:06:37.000Z,Sin especificar,Sin especificar,0,18.8,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2019-06-24T20:06:37.000Z,2019-06-24T20:06:37.000Z,1082,1,59
126,2020-09-09T14:24:10.000Z,14:24:10,nodulo interdigital blando con aspecto de nodulo sebaceo analisis prequirurgico,2020-09-09T14:24:10.000Z,Sin especificar,Sin especificar,38,20,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2020-09-09T14:24:10.000Z,2020-09-09T14:24:10.000Z,1082,1,59
129,2020-09-21T19:26:21.000Z,19:26:21,Estraccion de sangre para perfil hipotiroideo,2020-09-21T19:26:21.000Z,Sin especificar,Sin especificar,38,15,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2020-09-21T19:26:21.000Z,2020-09-21T19:26:21.000Z,1082,1,59
130,2020-10-28T18:55:19.000Z,18:55:19,Piel mejoro continuar a con dolor articularT4Previcox,2020-10-28T18:55:19.000Z,Sin especificar,Sin especificar,38,19,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2020-10-28T18:55:19.000Z,2020-10-28T18:55:19.000Z,1082,1,59
